,id,indicator,m_cp,Название на русском
516,COL,n_sdg2_stunting,0,Колумбия
517,GEO,n_sdg2_stunting,1,Грузия
518,MDG,n_sdg2_stunting,0,Мадагаскар
519,ISR,n_sdg2_stunting,1,Израиль
520,SSD,n_sdg2_stunting,0,Южный Судан
521,TCD,n_sdg2_stunting,0,Чад
522,LSO,n_sdg2_stunting,0,Лесото
523,ZWE,n_sdg2_stunting,0,Зимбабве
524,BFA,n_sdg2_stunting,0,Буркина-Фасо
525,GIN,n_sdg2_stunting,0,Гвинея
526,MNG,n_sdg2_stunting,0,Монголия
527,MOZ,n_sdg2_stunting,0,Мозамбик
528,AGO,n_sdg2_stunting,0,Ангола
529,SWZ,n_sdg2_stunting,0,Свазиленд
530,BRN,n_sdg2_stunting,0,Бруней
531,SRB,n_sdg2_stunting,1,Сербия
532,TZA,n_sdg2_stunting,0,Танзания
533,ECU,n_sdg2_stunting,0,Эквадор
534,BOL,n_sdg2_stunting,0,Боливия
535,BEN,n_sdg2_stunting,0,Бенин
536,NPL,n_sdg2_stunting,0,Непал
537,GRC,n_sdg2_stunting,1,Греция
538,MYS,n_sdg2_stunting,0,Малайзия
